slice,bucket,n,ivbs_caught,beihang_caught,ivbs_catch_fraction,beihang_catch_fraction,ivbs_min_distance_p50_m,ivbs_visible_fraction_mean
visibility_bucket,00_lt_0.02,14,0,0,0.0,0.0,12.027787208557129,0.009147049338922927
visibility_bucket,01_0.02_0.05,100,1,3,0.01,0.03,3.034677743911743,0.03853729137783127
visibility_bucket,02_0.05_0.10,287,4,5,0.013937282229965157,0.017421602787456445,4.624063491821289,0.06921838303280789
visibility_bucket,03_ge_0.10,111,19,11,0.17117117117117117,0.0990990990990991,5.836468696594238,0.1302661370238915
closing_bucket,01_0.35_0.45,101,3,2,0.0297029702970297,0.019801980198019802,4.986269474029541,0.08790051423348913
closing_bucket,02_ge_0.45,411,21,17,0.051094890510948905,0.0413625304136253,4.175562858581543,0.0716035353552639
image_plane_bucket,center,80,10,8,0.125,0.1,3.574041962623596,0.0795484654451746
image_plane_bucket,edge,202,5,4,0.024752475247524754,0.019801980198019802,4.7546141147613525,0.07449469114380153
image_plane_bucket,mid,230,9,7,0.0391304347826087,0.030434782608695653,4.106539964675903,0.07345739183449561
camera_elevation_bucket,down,127,1,2,0.007874015748031496,0.015748031496062992,3.398189067840576,0.06326952422342264
camera_elevation_bucket,level,255,23,17,0.09019607843137255,0.06666666666666667,3.116840124130249,0.08620745249836487
camera_elevation_bucket,up,130,0,0,0.0,0.0,7.707548379898071,0.06376057696260112
camera_azimuth_bucket,front_left,128,7,4,0.0546875,0.03125,4.026419162750244,0.07884756206238266
camera_azimuth_bucket,front_right,129,5,7,0.03875968992248062,0.05426356589147287,4.5056891441345215,0.07382850202111813
camera_azimuth_bucket,rear_left,127,8,5,0.06299212598425197,0.03937007874015748,4.247803688049316,0.07366345415612492
camera_azimuth_bucket,rear_right,128,4,3,0.03125,0.0234375,4.403935670852661,0.07293266864108425
outcome_class,beihang_only,9,0,9,0.0,1.0,1.3167520761489868,0.07592592592592592
outcome_class,ivbs_only,14,14,0,1.0,0.0,0.49311403930187225,0.11987099898660727
outcome_class,shared_catch,10,10,10,1.0,1.0,0.49349914491176605,0.12440363451163468
outcome_class,shared_miss,479,0,0,0.0,0.0,4.704962253570557,0.07244559771259641
